account_number,billable_hours,rate,total
1,878,48.9770664955616,43001.864383103086
2,809,50.82129668718279,41114.429019930874
3,389,50.875365975026845,19790.517364285442
4,396,49.87207985317422,19749.34362185699
5,573,51.43892279331927,29474.502760571944
6,288,49.06585806550299,14130.96712286486
7,432,50.228246303565584,21698.602403140332
8,308,50.1839829366011,15456.666744473137
9,667,49.35590258358972,32920.38702325434
10,522,49.90047953969158,26048.050319719005
11,748,51.656680166886275,38639.19676483094
12,752,51.10419610998743,38430.355474710545
13,228,51.198543352861755,11673.26788445248
14,481,50.26487452866932,24177.404648289943
15,389,49.90692268663914,19413.792925102625
16,684,49.64376567471486,33956.33572150496
17,357,50.182917431082565,17915.301522896476
18,633,48.60171997445709,30764.88874383134
19,146,50.502218516327346,7373.323903383793
20,13,48.63794464406433,632.2932803728363
21,180,50.281351753217955,9050.643315579231
22,289,49.27097991687222,14239.313195976072
23,523,50.686107563533504,26508.834255728023
24,744,49.13082832828072,36553.33627624086
25,578,49.74655594905151,28753.509338551772
26,51,50.25985909744534,2563.2528139697124
27,700,48.89115913811159,34223.81139667811
28,389,50.21067678105189,19531.953267829183
29,322,50.66490639136388,16314.099858019168
30,359,49.07762112111313,17618.865982479616
31,422,50.369977380109646,21256.13045440627
32,200,50.1571945849942,10031.43891699884
33,752,49.5136324170753,37234.25157764063
34,696,48.87296368807569,34015.582726900684
35,561,50.41905675619644,28285.090840226203
36,480,51.271383078282334,24610.26387757552
37,229,50.3106675275388,11521.142863806384
38,469,49.74750937893915,23331.58189872246
39,6,50.29678712885332,301.7807227731199
40,851,49.13349806716481,41812.60685515725
41,823,49.746239272717446,40941.15492144646
42,264,49.50245221142608,13068.647383816486
43,4,50.22302150296184,200.89208601184737
44,408,48.49186902474433,19784.682562095688
45,579,48.22788005846501,27923.94255385124
46,832,48.662561383862574,40487.25107137366
47,25,49.11819368088942,1227.9548420222354
48,828,50.29126583572325,41641.168111978855
49,495,48.96115872075768,24235.773566775053
50,344,51.106509707188444,17580.639339272824
51,231,50.3172160670632,11623.2769114916
52,90,49.38569097083006,4444.7121873747055
53,786,48.980657499449904,38498.79679456763
54,420,49.69495419545372,20871.88076209056
55,780,51.39403637402149,40087.34837173676
56,435,49.4458974558806,21508.96539330806
57,740,49.74625554283551,36812.22910169828
58,655,50.09409957221947,32811.63521980375
59,550,49.83279075097753,27408.03491303764
60,843,49.717945376761314,41912.227952609785
61,449,50.19275968593345,22536.54909898412
62,54,49.959356111783364,2697.8052300363015
63,583,51.45161767111257,29996.29310225863
64,603,51.743296052681245,31201.20751976679
65,285,51.08282378015389,14558.604777343859
66,181,51.00841037049897,9232.522277060314
67,337,48.258312725412466,16263.051388464
68,886,50.551363121632846,44788.5077257667
69,312,50.09766553933222,15630.471648271652
70,664,49.920169777472005,33146.99273224141
71,867,51.12151716322088,44322.355380512505
72,349,50.399322827030424,17589.363666633617
73,584,49.655093082173195,28998.574359989147
74,879,51.6690046299349,45417.055069712784
75,305,50.27308393592963,15333.290600458537
76,473,51.95400281308601,24574.24333058968
77,204,50.648881169729755,10332.37175862487
78,612,50.355475123853786,30817.550775798518
79,824,51.33439898061252,42299.54476002471
80,488,49.443948602519505,24128.646918029517
81,89,48.321346718282946,4300.599857927182
82,813,50.12556595617542,40752.08512237062
83,704,52.18115864467291,36735.53568584973
84,492,49.59864465208474,24402.533168825692
85,429,50.7338462271455,21764.82003144542
86,375,50.894795799483255,19085.54842480622
87,562,51.29353412982836,28826.966180963536
88,155,49.52599186968632,7676.52873980138
89,523,50.474225224955475,26398.019792651714
90,441,50.77518371830603,22391.85601977296
91,813,49.63428506321213,40352.673756391465
92,595,50.99201638821289,30340.24975098667
93,416,49.66097686281941,20658.966374932876
94,264,51.04383280656724,13475.571860933751
95,817,49.35504843954666,40323.07457510962
96,489,50.8881235911187,24884.292436057043
97,18,50.59924184831232,910.7863532696217
98,622,48.31042420125416,30049.083853180087
99,230,50.072483268564156,11516.671151769755
100,281,49.1298892977988,13805.498892681462
